"","name","degree","bonpow","betweenness","close","constraint","eigen","eigen.rc","eigen.dc"
"1","Eric Andersen",1,0.0261246111520295,0,0,1,0.0488364373742657,0.00287273161025093,0.0459637057640148
"2","John Barlow",3,-1.44991591893765,0.75,0,0.670622168610765,0.0776351190117272,0.00895789834750699,0.0686772206642203
"3","Bob Bralove",5,-1.41072900220961,1.83333333333333,0,0.498916988790121,0.127706003439418,0.0159632504299273,0.111742753009491
"4","Andrew Charles",1,-0.483305306312549,0,0,1,0.0431746284084272,0.00308390202917337,0.0400907263792538
"5","John Dawson",2,-1.18866980741735,0,0,1.29452379377989,0.0797769362766867,0.00759780345492254,0.0721791328217642
"6","Willie Dixon",2,0.274308417096312,0,0,0.7040589569161,0.0642380122505995,0.00583981929550904,0.0583981929550904
"7","Jerry Garcia",10,-1.24091902972141,13.2333333333333,0,0.506190805249136,0.330587144741525,0.0384403656676191,0.292146779073905
"8","Donna Godchaux",6,0.30043302824834,0,0,0.451421921607786,0.238342214172543,0.0223445825786759,0.215997631593867
"9","Keith Godchaux",7,-0.0718426806680829,0.166666666666667,0,0.5143887363373,0.273500640551288,0.0258716822143111,0.247628958336977
"10","Gerrit Graham",1,0.0261246111520295,0,0,1,0.0488364373742657,0.00287273161025093,0.0459637057640148
"11","Frank Guida",2,-0.0718426806680821,0,0,0.822400038446751,0.0338872655451517,0.00677745310903033,0.0271098124361213
"12","Mickey Hart",7,-0.0718426806680832,0.166666666666667,0,0.52940135996863,0.273500640551288,0.0258716822143111,0.247628958336977
"13","Bruce Hornsby",0,0,0,0,0,0,NA,NA
"14","Robert Hunter",11,-1.54135205796976,30.45,0,0.633263625336735,0.323358071863187,0.0404197589828983,0.282938312880288
"15","Bill Kreutzmann",9,-1.04498444608119,3.06666666666667,0,0.515978696266999,0.321913071678831,0.0340849134718762,0.287828158206955
"16","Ned Lagin",1,-0.483305306312549,0,0,1,0.0431746284084272,0.00308390202917337,0.0400907263792538
"17","Phil Lesh",14,-1.28010594644946,89.4,0,0.452199587430686,0.353909827159362,0.0556712087666412,0.298238618392721
"18","Peter Monk",1,-0.48330530631255,0,0,1,0.0431746284084272,0.00308390202917337,0.0400907263792538
"19","Brent Mydland",4,-1.65891280815389,6.16666666666667,0,0.932513310577622,0.108361724598414,0.012040191622046,0.0963215329763679
"20","Dave Parker",5,-1.94628353082622,0,0,0.559108284102828,0.201364967839632,0.0173590489516924,0.18400591888794
"21","Robert Petersen",2,-1.34541747432953,0,0,0.713469650993033,0.0563940330010903,0.00626600366678782,0.0501280293343025
"22","Pigpen",8,-1.59360128027382,44.2,0,0.540455233784807,0.24389245677897,0.0278734236318823,0.216019033147088
"23","Joe Royster",2,-0.071842680668082,0,0,0.822400038446751,0.0338872655451517,0.00677745310903033,0.0271098124361213
"24","Rob Wasserman",5,-0.548616834192627,1.83333333333333,0,0.475623371045888,0.126249348317819,0.0161858138868999,0.110063534430919
"25","Bob Weir",17,-0.770676028984879,111.733333333333,0,0.336735468032333,0.400320645395713,0.0667201075659522,0.333600537829761
"26","Vince Welnick",4,-1.08417136280924,0,0,0.521631897979173,0.119264808200263,0.0125541903368698,0.106710617863393
