"","ï..node.id","name","fg_gd","wt_gd","lab_gd","edge_gd","eigen_gd"
"1",1,"Eric Andersen",2,1,1,1,1
"2",2,"John Barlow",2,1,2,2,2
"3",3,"Bob Bralove",2,1,3,3,3
"4",4,"Andrew Charles",4,1,4,4,4
"5",5,"John Dawson",3,1,5,5,5
"6",6,"Willie Dixon",2,1,6,6,6
"7",7,"Jerry Garcia",3,1,7,7,7
"8",8,"Donna Godchaux",3,1,8,8,8
"9",9,"Keith Godchaux",3,1,9,9,9
"10",10,"Gerrit Graham",2,1,10,10,10
"11",11,"Frank Guida",1,1,11,11,11
"12",12,"Mickey Hart",3,1,12,12,12
"13",13,"Bruce Hornsby",5,2,13,13,13
"14",14,"Robert Hunter",2,1,14,14,14
"15",15,"Bill Kreutzmann",3,1,15,15,15
"16",16,"Ned Lagin",4,1,16,16,16
"17",17,"Phil Lesh",4,1,17,17,17
"18",18,"Peter Monk",4,1,18,18,18
"19",19,"Brent Mydland",4,1,19,19,19
"20",20,"Dave Parker",1,1,20,20,20
"21",21,"Robert Petersen",4,1,21,21,21
"22",22,"Pigpen",1,1,22,22,22
"23",23,"Joe Royster",1,1,23,23,23
"24",24,"Rob Wasserman",2,1,24,24,24
"25",25,"Bob Weir",2,1,25,25,25
"26",26,"Vince Welnick",2,1,26,26,26
