"","ï..node.id","name","fg_gd","wt_gd","lab_gd","edge_gd","eigen_gd","spin_gd"
"1",1,"Eric Andersen",2,1,1,1,1,2
"2",2,"John Barlow",2,1,2,2,2,2
"3",3,"Bob Bralove",2,1,3,3,3,2
"4",4,"Andrew Charles",4,1,4,4,4,3
"5",5,"John Dawson",3,1,5,5,5,4
"6",6,"Willie Dixon",2,1,6,6,6,2
"7",7,"Jerry Garcia",3,1,7,7,7,4
"8",8,"Donna Godchaux",3,1,8,8,8,4
"9",9,"Keith Godchaux",3,1,9,9,9,4
"10",10,"Gerrit Graham",2,1,10,10,10,2
"11",11,"Frank Guida",1,1,11,11,11,1
"12",12,"Mickey Hart",3,1,12,12,12,4
"13",14,"Robert Hunter",2,1,13,13,13,4
"14",15,"Bill Kreutzmann",3,1,14,14,14,4
"15",16,"Ned Lagin",4,1,15,15,15,3
"16",17,"Phil Lesh",4,1,16,16,16,3
"17",18,"Peter Monk",4,1,17,17,17,3
"18",19,"Brent Mydland",4,1,18,18,18,3
"19",20,"Dave Parker",1,1,19,19,19,1
"20",21,"Robert Petersen",4,1,20,20,20,3
"21",22,"Pigpen",1,1,21,21,21,1
"22",23,"Joe Royster",1,1,22,22,22,1
"23",24,"Rob Wasserman",2,1,23,23,23,2
"24",25,"Bob Weir",2,1,24,24,24,2
"25",26,"Vince Welnick",2,1,25,25,25,2
